distance (nm)	height (nm)
0	0.860801
0.56576	0.8797790000000001
1.13152	0.883728
1.69727	0.869929
2.26303	0.864513
2.82879	0.86503
3.39455	0.846776
3.96031	0.8516489999999999
4.52606	0.875408
5.09182	0.875883
5.65758	0.8672280000000001
6.22334	0.853613
6.7891	0.876796
7.35485	0.864354
7.92061	0.869078
8.486370000000001	0.874328
9.05213	0.8709939999999999
9.617889999999999	0.851581
10.18364	0.8518359999999999
10.7494	0.8602550000000001
11.31516	0.8945299999999999
11.88092	0.8833170000000001
12.44668	0.8723879999999999
13.01243	0.8755979999999999
13.57819	0.866282
14.14395	0.854095
14.70971	0.868781
15.27547	0.8813850000000001
15.84122	0.8617520000000001
16.40698	0.8578430000000001
16.97274	0.8764430000000001
17.5385	0.888401
18.10426	0.8763489999999999
18.67001	0.8754670000000001
19.23577	0.8750540000000001
19.80153	0.8639889999999999
20.36729	0.846701
20.93305	0.868805
21.4988	0.8482480000000001
22.06456	0.735299
22.63032	0.6577499999999999
23.19608	0.626875
23.76184	0.6612790000000001
24.32759	0.6517489999999999
24.89335	0.6442020000000001
25.45911	0.64894
26.02487	0.6711229999999999
26.59063	0.656236
27.15638	0.657208
27.72214	0.657172
28.2879	0.648722
28.85366	0.630865
29.41942	0.642588
29.98517	0.671925
30.55093	0.669252
31.11669	0.653627
31.68245	0.6639350000000001
32.24821	0.6750969999999999
32.81396	0.581163
33.37972	0.652571
33.94548	0.6706030000000001
34.51124	0.663681
35.077	0.642378
35.64275	0.6578310000000001
36.20851	0.6755150000000001
36.77427	0.672275
37.34003	0.655881
37.90579	0.6469199999999999
38.47154	0.655204
39.0373	0.652404
39.60306	0.645389
40.16882	0.6736329999999999
40.73458	0.6709240000000001
41.30033	0.657778
41.86609	0.646458
42.43185	0.6681
42.99761	0.6790339999999999
43.56337	0.660119
44.12912	0.643662
44.69488	0.6479090000000001
45.26064	0.663107
45.8264	0.621084
46.39216	0.54654
46.95791	0.307272
47.52367	0.030862
48.08943	0.028637
48.65519	0.028516
49.22094	0.031193
49.7867	0.030432
50.35246	0.029038
50.91822	0.029222
51.48398	0.028013
52.04973	0.025958
52.61549	0.024053
53.18125	0.026389
53.74701	0.024975
54.31277	0.027531
54.87852	0.028376
55.44428	0.025646
56.01004	0.023151
56.5758	0.022099
57.14156	0.023775
57.70731	0.022402
58.27307	0.02935
58.83883	0.022869
59.40459	0.023273
59.97035	0.023378
60.5361	0.020699
61.10186	0.01868
61.66762	0.019744
62.23338	0.020396
62.79914	0.02036
63.36489	0.02664
63.93065	0.024408
64.49641	0.027896
65.06216999999999	0.025372
65.62793000000001	0.02459
66.19368	0.024098
66.75944	0.023081
67.3252	0.03086
67.89096000000001	0.301512
68.45672	0.624019
69.02247	0.673606
69.58823	0.669783
70.15398999999999	0.649105
70.71975	0.647107
71.28551	0.666575
71.85126	0.6753560000000001
72.41701999999999	0.660654
72.98278000000001	0.6557649999999999
73.54854	0.656126
74.1143	0.633657
74.68004999999999	0.638815
75.24581000000001	0.67103
75.81157	0.665316
76.37733	0.651097
76.94309	0.653228
77.50884000000001	0.663359
78.0746	0.656473
78.64036	0.659172
79.20612	0.663959
79.77188	0.6691309999999999
80.33763	0.647494
80.90339	0.6553519999999999
81.46915	0.671288
82.03491	0.665517
82.60066999999999	0.661381
83.16642	0.6575719999999999
83.73218	0.647111
84.29794	0.6330479999999999
84.86369999999999	0.638235
85.42946000000001	0.663216
85.99521	0.533903
86.56097	0.144781
87.12672999999999	0.019064
87.69249000000001	0.01524
88.25825	0.016362
88.824	0.017867
89.38976	0.015492
89.95552000000001	0.015534
90.52128	0.019178
91.08704	0.341387
91.65279	0.63847
92.21854999999999	0.691632
92.78431	0.658591
93.35007	0.658682
93.91583	0.6480870000000001
94.48157999999999	0.636802
95.04734000000001	0.6324449999999999
95.6131	0.661733
96.17886	0.6721549999999999
96.74462	0.654405
97.31037000000001	0.65179
97.87613	0.649976
98.44189	0.632247
99.00765	0.629127
99.57341	0.663253
100.13916	0.679161
100.70492	0.668793
101.27068	0.653871
101.83644	0.652079
102.4022	0.633086
102.96795	0.624842
103.53371	0.6551669999999999
104.09947	0.6241939999999999
104.66523	0.633621
105.23099	0.6471980000000001
105.79674	0.6571170000000001
106.3625	0.653336
106.92826	0.633169
107.49402	0.645496
108.05978	0.657297
108.62553	0.641835
109.19129	0.631701
109.75705	0.651958
110.32281	0.6649740000000001
110.88856	0.651103
111.45432	0.639726
112.02008	0.646155
112.58584	0.637607
113.1516	0.630116
113.71735	0.653066
114.28311	0.665635
114.84887	0.653988
115.41463	0.6320020000000001
115.98039	0.647427
116.54614	0.6451450000000001
117.1119	0.644995
117.67766	0.615371
118.24342	0.545425
118.80918	0.152955
119.37493	0.015045
119.94069	0.012266
120.50645	0.011839
121.07221	0.013429
121.63797	0.013464
122.20372	0.01104
122.76948	0.008665000000000001
