bias (mV)	dI/dV_1	dI/dV_2	dI/dV_3	dI/dV_4	dI/dV_5	dI/dV_6	dI/dV_7
25	2.059474119020521e-11	1.920878907324397e-11	2.070693616573749e-11	2.098553622542632e-11	2.044076193030708e-11	2.399029239152917e-11	2.055465173067539e-11
24.84984984984985	2.054615505509005e-11	1.953076068927917e-11	2.025051133724975e-11	2.135893892307728e-11	2.057733324012379e-11	2.402865406647692e-11	2.056877237976984e-11
24.6996996996997	2.043687268027394e-11	1.937378382721455e-11	2.034503295000878e-11	2.102709326101682e-11	2.059766072981528e-11	2.372464551203546e-11	2.097265937306414e-11
24.54954954954955	2.088628575647178e-11	1.946197369928626e-11	2.073925232937146e-11	2.13761664619172e-11	2.045809702200252e-11	2.409977946371544e-11	2.083114236661743e-11
24.3993993993994	2.079610268712617e-11	1.946912249473076e-11	2.060593536079569e-11	2.104806086367095e-11	2.050655305285698e-11	2.389466055574552e-11	2.120241135439294e-11
24.24924924924925	2.043686921082699e-11	1.937805645113588e-11	2.110987253056695e-11	2.110925843845646e-11	2.057327051774305e-11	2.378414999670841e-11	2.040114431556272e-11
24.0990990990991	2.095336924801128e-11	1.922319248226501e-11	2.032043977528986e-11	2.078521035842051e-11	2.069688864736463e-11	2.403316434751446e-11	2.083148757658915e-11
23.94894894894895	2.060902316858293e-11	1.985861995679183e-11	2.115773181654568e-11	2.10645789006092e-11	2.06890130027837e-11	2.396601146703592e-11	2.060243815826812e-11
23.7987987987988	2.015481358197402e-11	1.950892572488705e-11	2.072621761717297e-11	2.002185049698735e-11	2.022388680134046e-11	2.394554693418982e-11	2.022182768457448e-11
23.64864864864865	2.080640000567957e-11	1.966858793889248e-11	2.085889794223306e-11	2.062675377723089e-11	2.027759904432713e-11	2.370180440802727e-11	2.087718713184028e-11
23.4984984984985	1.986845063473019e-11	1.92295762646566e-11	2.063272122598825e-11	2.030555064369555e-11	2.085679198793322e-11	2.37186780632781e-11	2.05009481613061e-11
23.34834834834835	2.055878384199517e-11	1.933783341789841e-11	2.061963620680896e-11	2.050401862185858e-11	2.048390450315463e-11	2.379940342023268e-11	2.055460836258849e-11
23.1981981981982	2.013017356972124e-11	1.918116186716556e-11	2.120007294714732e-11	2.085257140571617e-11	2.071764981792512e-11	2.406660634668434e-11	2.029809827164275e-11
23.04804804804805	2.053924738620871e-11	1.882849952339338e-11	2.010462976653749e-11	2.033111179411407e-11	2.073930263635226e-11	2.369032921223369e-11	2.055615400120558e-11
22.8978978978979	2.063007577268738e-11	1.944677231746628e-11	2.09826201552632e-11	2.049439437601386e-11	2.060817488880318e-11	2.391191238071411e-11	2.037828759904325e-11
22.74774774774775	1.979214361846893e-11	1.902167139078426e-11	2.090924308695286e-11	2.051253437940215e-11	2.057955021672608e-11	2.352979616704332e-11	2.04115734731003e-11
22.5975975975976	2.073765811849704e-11	1.961306984876732e-11	2.090252623765387e-11	2.064718014616052e-11	2.021098392812615e-11	2.372034860198546e-11	2.046165493985175e-11
22.44744744744745	1.99543732232188e-11	1.93683645510756e-11	2.059129429465845e-11	2.015634187335635e-11	2.051322306462211e-11	2.34905289664411e-11	2.019399231167895e-11
22.2972972972973	2.01124204096681e-11	1.943199941234486e-11	2.043970027953979e-11	2.01190054199829e-11	2.012909630644266e-11	2.392717968202618e-11	2.046009542344684e-11
22.14714714714715	2.019226105764993e-11	1.872360946841845e-11	2.088699699309693e-11	2.003901385105866e-11	2.03472984988684e-11	2.391456130346192e-11	2.004136960553904e-11
21.996996996997	2.041405412767094e-11	1.871216202820047e-11	2.011111936706111e-11	2.049905037382338e-11	2.017227704320668e-11	2.380135498414315e-11	2.03367635231988e-11
21.84684684684685	1.989741010843815e-11	1.905446980754455e-11	2.082138628178853e-11	2.026396585252943e-11	2.001531579365334e-11	2.407101080958984e-11	2.024149771406858e-11
21.6966966966967	1.973740441918448e-11	1.912680604176931e-11	2.010418220788068e-11	1.985561021156101e-11	2.032773602222981e-11	2.348329516954628e-11	2.044140551271667e-11
21.54654654654655	1.991550674373954e-11	1.913959962740464e-11	2.048235712981405e-11	2.034723084465284e-11	2.00367222813469e-11	2.389478719055926e-11	2.031445150985078e-11
21.3963963963964	1.984154160417084e-11	1.90318212578422e-11	2.042502798837997e-11	1.95520318685416e-11	2.051878458808609e-11	2.355371973850051e-11	1.997367202188904e-11
21.24624624624625	1.988999416557835e-11	1.905853946881919e-11	2.033966224612715e-11	2.020986676620762e-11	2.006032492896104e-11	2.397310301660571e-11	2.02291482176431e-11
21.0960960960961	1.966691740018511e-11	1.878877088634656e-11	2.036149200634885e-11	2.016434935692146e-11	2.028355955419059e-11	2.367479649822979e-11	2.003901385105866e-11
20.94594594594594	2.039377694496025e-11	1.931312922087702e-11	2.012646473092961e-11	2.004843166480974e-11	2.039476400261808e-11	2.374566689111735e-11	2.035156938806626e-11
20.7957957957958	2.003239067682738e-11	1.876592284344447e-11	2.056192195676321e-11	2.004786787968005e-11	2.02127273252195e-11	2.340526210342642e-11	2.003981529330456e-11
20.64564564564564	2.029706611117454e-11	1.903735155628361e-11	2.009444347028655e-11	1.970932618500232e-11	2.027929039971621e-11	2.352984820874759e-11	2.003622268098582e-11
20.4954954954955	2.007590101105183e-11	1.896377152532658e-11	2.072545954301397e-11	2.033876018991965e-11	2.002513085908042e-11	2.353699526946862e-11	2.013374710008176e-11
20.34534534534534	1.95593107682468e-11	1.866409457540463e-11	2.017137325227569e-11	1.95919929585342e-11	2.009041197292838e-11	2.311079452810283e-11	1.987377797052492e-11
20.1951951951952	2.012053718081219e-11	1.899041861264106e-11	2.021767128712604e-11	2.003317130239157e-11	1.993203692374212e-11	2.319478116519225e-11	2.002289653524336e-11
20.04504504504504	1.931308585279012e-11	1.861317870666124e-11	2.063310980404687e-11	1.965928982106124e-11	2.038156449168937e-11	2.307345980945286e-11	1.994830342577636e-11
19.8948948948949	1.985418079941681e-11	1.870438352813419e-11	2.006954324951238e-11	1.986224552885663e-11	2.05374935807745e-11	2.350830641262291e-11	1.999596842272577e-11
19.74474474474474	1.973264607268987e-11	1.883196897034534e-11	2.078874572486455e-11	1.972504277969467e-11	2.02207642990837e-11	2.35357115740964e-11	1.972877937406192e-11
19.5945945945946	1.945221761445737e-11	1.902141291698634e-11	2.025686736406573e-11	1.949524049138507e-11	2.050354330762616e-11	2.3311599178788e-11	1.993878846751063e-11
19.44444444444444	1.979246974648241e-11	1.869778637475505e-11	2.040881352805002e-11	2.010688837650321e-11	2.005669935689625e-11	2.368542341424362e-11	1.974426871997892e-11
19.2942942942943	1.946757165194324e-11	1.856055760474096e-11	2.046600042215907e-11	1.950560199470708e-11	2.008909011363968e-11	2.327442058525087e-11	1.973395925836119e-11
19.14414414414414	1.97041358923622e-11	1.832516430266828e-11	2.064461969430997e-11	2.007759930533481e-11	2.002382634702649e-11	2.35304397494529e-11	2.008972328770842e-11
18.993993993994	1.937845196808841e-11	1.837310859009733e-11	2.049762963529655e-11	1.956973298689046e-11	2.020920063239284e-11	2.292521207591935e-11	1.990349204894493e-11
18.84384384384384	1.962185101900271e-11	1.828857898455993e-11	2.020773999522607e-11	1.975116424579593e-11	2.017260317122016e-11	2.296754973707404e-11	1.995582518676819e-11
18.69369369369369	1.96460347989813e-11	1.871930561947455e-11	2.056730480370916e-11	1.961381057569156e-11	2.00362313546032e-11	2.306769532334219e-11	2.009059585361683e-11
18.54354354354354	1.93107335677567e-11	1.861196266550458e-11	2.052626645043798e-11	1.950602006306479e-11	2.026679692124222e-11	2.303203634757001e-11	1.992375014969738e-11
18.39339339339339	1.952152849094002e-11	1.829985989132421e-11	2.06578105316213e-11	1.949154899982819e-11	2.007376383172943e-11	2.320945172162858e-11	1.981270182638273e-11
18.24324324324324	1.939077370893827e-11	1.857758391565767e-11	2.015003788824465e-11	1.916332544038557e-11	2.030925601304023e-11	2.264939971685642e-11	1.97776742899558e-11
18.09309309309309	1.956607445507963e-11	1.841095678689619e-11	2.02072542726528e-11	1.990902755155677e-11	2.007579345819632e-11	2.331885205764106e-11	1.980195521444905e-11
17.94294294294294	1.892654956370254e-11	1.826008441674354e-11	2.050178950219195e-11	1.925866584262526e-11	2.018907263590108e-11	2.315885157255781e-11	1.9756791688752e-11
17.79279279279279	1.953602557502876e-11	1.840372992889527e-11	2.024900906671956e-11	1.991667594736235e-11	2.007978679163802e-11	2.322898644269156e-11	1.947322338102797e-11
17.64264264264264	1.949630387687584e-11	1.841961999593522e-11	2.049024318273585e-11	1.974121213721425e-11	2.005632465662543e-11	2.286920826322092e-11	1.998042876982797e-11
17.49249249249249	1.953671079080177e-11	1.831414533914888e-11	2.011709722415933e-11	1.960509012077782e-11	1.998766083199932e-11	2.30296250819384e-11	1.979736166668467e-11
17.34234234234234	1.932645883606643e-11	1.822481748847693e-11	2.064688871261655e-11	1.959530974982027e-11	1.998478986464658e-11	2.316378686084697e-11	1.971949686874197e-11
17.19219219219219	1.911503073881438e-11	1.803885339712874e-11	2.001966648013109e-11	1.938169243154153e-11	2.029308492079718e-11	2.289661515941788e-11	1.991242414012273e-11
17.04204204204204	1.938028383607904e-11	1.80825215911895e-11	2.036973714703016e-11	1.961518447668453e-11	1.986225246775053e-11	2.31016039631271e-11	1.968650242822889e-11
16.89189189189189	1.902029922451476e-11	1.807706415113408e-11	2.024522736954193e-11	1.930225423940612e-11	2.023635946313274e-11	2.258523923437394e-11	1.988639981853613e-11
16.74174174174174	1.91647097497194e-11	1.796428283906693e-11	2.000926334344566e-11	1.948500041870638e-11	2.019955383514294e-11	2.292948816928764e-11	1.943501956591653e-11
16.59159159159159	1.916147102098975e-11	1.815775134417219e-11	2.032436198506904e-11	1.92343346111512e-11	2.012879099511089e-11	2.270672712356703e-11	1.987007607062719e-11
16.44144144144144	1.896809272150524e-11	1.781124553401625e-11	1.996875234611117e-11	1.947119028511413e-11	2.031440467231693e-11	2.288430035746192e-11	1.976923486024518e-11
16.29129129129129	1.91126819232279e-11	1.8177117797058e-11	2.029845909412575e-11	1.947102722110738e-11	2.001913392002397e-11	2.280995184400503e-11	1.977070070158238e-11
16.14114114114114	1.90695653712325e-11	1.77624859265535e-11	1.987164079120252e-11	1.948090994075002e-11	2.021315406719459e-11	2.266804452477622e-11	1.987868029906803e-11
15.99099099099099	1.917400613282716e-11	1.794227440232721e-11	1.985640818435996e-11	1.952047724851358e-11	2.011567301618555e-11	2.270131652104546e-11	1.95087487830925e-11
15.84084084084084	1.912186207986277e-11	1.805516326724987e-11	1.999624597848193e-11	1.935285612320037e-11	1.992625162094974e-11	2.237220478318314e-11	1.965458872044135e-11
